user,is_private,is_failure,is_root,is_success,command,ipaddress,date,target
teamspeak,0,1,0,0,0,142.93.214.155,2021-11-18 20:36:00,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:36:06,0
webmaster,0,1,0,0,0,142.93.214.155,2021-11-18 20:36:13,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:36:20,0
elastic,0,1,0,0,0,142.93.214.155,2021-11-18 20:36:27,0
elasticsearch,0,1,0,0,0,142.93.214.155,2021-11-18 20:36:33,0
demo,0,1,0,0,0,142.93.214.155,2021-11-18 20:36:40,0
spark,0,1,0,0,0,142.93.214.155,2021-11-18 20:36:46,0
db,0,1,0,0,0,142.93.214.155,2021-11-18 20:36:53,0
server,0,1,0,0,0,142.93.214.155,2021-11-18 20:37:00,0
dev,0,1,0,0,0,142.93.214.155,2021-11-18 20:37:07,0
webadmin,0,1,0,0,0,142.93.214.155,2021-11-18 20:37:14,0
ftpuser,0,1,0,0,0,142.93.214.155,2021-11-18 20:37:21,0
ftpadmin,0,1,0,0,0,142.93.214.155,2021-11-18 20:37:27,0
ftptest,0,1,0,0,0,142.93.214.155,2021-11-18 20:37:34,0
debian,0,1,0,0,0,142.93.214.155,2021-11-18 20:37:41,0
test1,0,1,0,0,0,142.93.214.155,2021-11-18 20:37:48,0
user1,0,1,0,0,0,142.93.214.155,2021-11-18 20:37:55,0
user01,0,1,0,0,0,142.93.214.155,2021-11-18 20:38:02,0
user,0,1,0,0,0,209.141.44.165,2021-11-18 21:11:01,0
user,0,1,0,0,0,212.192.241.37,2021-11-18 21:29:02,0
sdadmin,0,1,0,0,0,195.5.7.211,2021-11-18 21:46:08,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:46:13,0
root,0,1,1,0,0,195.5.7.211,2021-11-18 21:46:17,0
service,0,1,0,0,0,195.5.7.211,2021-11-18 21:46:21,0
service,0,1,0,0,0,195.5.7.211,2021-11-18 21:46:25,0
service,0,1,0,0,0,195.5.7.211,2021-11-18 21:46:30,0
root,0,1,1,0,0,195.5.7.211,2021-11-18 21:46:34,0
root,0,1,1,0,0,195.5.7.211,2021-11-18 21:46:38,0
RPM,0,1,0,0,0,195.5.7.211,2021-11-18 21:46:43,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:46:47,0
ubnt,0,1,0,0,0,195.5.7.211,2021-11-18 21:46:52,0
pi,0,1,0,0,0,195.5.7.211,2021-11-18 21:46:56,0
PlcmSpIp,0,1,0,0,0,195.5.7.211,2021-11-18 21:47:00,0
guest,0,1,0,0,0,195.5.7.211,2021-11-18 21:47:05,0
backup,0,1,0,0,0,195.5.7.211,2021-11-18 21:47:09,0
user,0,1,0,0,0,195.5.7.211,2021-11-18 21:47:14,0
admin1,0,1,0,0,0,195.5.7.211,2021-11-18 21:47:18,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:47:22,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:47:27,0
test,0,1,0,0,0,195.5.7.211,2021-11-18 21:47:30,0
service,0,1,0,0,0,195.5.7.211,2021-11-18 21:47:35,0
support,0,1,0,0,0,195.5.7.211,2021-11-18 21:47:39,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:47:44,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:47:48,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:47:52,0
guest,0,1,0,0,0,195.5.7.211,2021-11-18 21:47:56,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:48:00,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:48:04,0
root,0,1,1,0,0,195.5.7.211,2021-11-18 21:48:09,0
username,0,1,0,0,0,195.5.7.211,2021-11-18 21:48:13,0
root,0,1,1,0,0,195.5.7.211,2021-11-18 21:48:17,0
arun,0,1,0,0,0,195.5.7.211,2021-11-18 21:48:22,0
tomcat7,0,1,0,0,0,195.5.7.211,2021-11-18 21:48:26,0
jenkins,0,1,0,0,0,195.5.7.211,2021-11-18 21:48:30,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:48:35,0
root,0,1,1,0,0,195.5.7.211,2021-11-18 21:48:39,0
phoenixrhyse,0,1,0,0,0,195.5.7.211,2021-11-18 21:48:44,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:48:48,0
eclipse,0,1,0,0,0,195.5.7.211,2021-11-18 21:48:52,0
-1,0,1,0,0,0,195.5.7.211,2021-11-18 21:48:57,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:49:01,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:49:05,0
osmc,0,1,0,0,0,195.5.7.211,2021-11-18 21:49:09,0
a,0,1,0,0,0,195.5.7.211,2021-11-18 21:49:14,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:49:18,0
a1,0,1,0,0,0,195.5.7.211,2021-11-18 21:49:22,0
demo,0,1,0,0,0,195.5.7.211,2021-11-18 21:49:27,0
root,0,1,1,0,0,195.5.7.211,2021-11-18 21:49:31,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:49:35,0
default,0,1,0,0,0,195.5.7.211,2021-11-18 21:49:39,0
root,0,1,1,0,0,195.5.7.211,2021-11-18 21:49:43,0
sshd,0,1,0,0,0,195.5.7.211,2021-11-18 21:49:47,0
media,0,1,0,0,0,195.5.7.211,2021-11-18 21:49:51,0
pi,0,1,0,0,0,195.5.7.211,2021-11-18 21:49:56,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:50:00,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:50:04,0
admin,0,1,0,0,0,195.5.7.211,2021-11-18 21:50:08,0
syslog,0,1,0,0,0,195.5.7.211,2021-11-18 21:50:13,0
root,0,1,1,0,0,195.5.7.211,2021-11-18 21:50:17,0
vpn,0,1,0,0,0,195.5.7.211,2021-11-18 21:50:21,0
root,0,1,1,0,0,195.5.7.211,2021-11-18 21:50:25,0
butter,0,1,0,0,0,195.5.7.211,2021-11-18 21:50:30,0
abhishek,0,1,0,0,0,195.5.7.211,2021-11-18 21:50:34,0
neteo,0,1,0,0,0,195.5.7.211,2021-11-18 21:50:39,0
scan,0,1,0,0,0,195.5.7.211,2021-11-18 21:50:43,0
user,0,1,0,0,0,141.98.10.63,2021-11-18 22:18:05,0
user,0,1,0,0,0,205.185.119.112,2021-11-18 22:24:34,0
user,0,1,0,0,0,209.141.33.121,2021-11-18 22:26:50,0
